ئاب	آب
ئامادە	آماد
ئامر	آمر
ئامون	آمون
ئامێدی	آمدي
ئامێدیێ	آمدي
ئامێر	آمر
ئامێرانە	امرآن
ئامێری	آمري
ئامێرێ	آمر
ئامێرێن	امرن
ئامێرە	آمر
ئامێرەی	آمري
ئامێز	امض
ئامێزی	امضي
ئامەد	آمد
ئامەدی	آمدي
ئامەدێ	آمد
ئان	آن
ئانت	انت
ئانتوان	انتوان
ئانتی	انتي
ئانجی	انجي
ئاند	اند
ئاندری	اندري
ئاندرێ	اندر
ئاندرێس	اندرس
ئاندی	اندي
ئاندیان	انديان
ئانی	آني
ئانین	آنين
ئاهوو	اهو
ئاو	آو
ئاون	آون
ئاوو	آو
ئاوی	آوي
ئاویان	آويان
ئاوێنە	آون
ئاوە	آو
ئاوەوە	آو
ئاوەی	آوي
ئاڕ	آر
ئاڤ	آو
ئاڤی	آوي
ئاڤێ	آو
ئاکام	آكام
ئاکری	اكري
ئاکرێ	آكر
ئاکرێی	اكري
ئاکۆ	اكو
ئاکۆیان	اكويان
ئاڵ	آل
ئاڵتون	التون
ئاڵتوون	التون
ئاڵتۆ	التو
ئاڵتی	التي
ئاڵقەی	القي
ئاڵن	آلن
ئاڵو	الو
ئای	آي
ئاید	ايد
ئایدا	ايدآ
ئایدن	ايدن
ئایدین	ايدين
ئایر	اير
ئایرس	آيرس
ئایرین	ايرين
ئایرێس	آيرس
ئایس	آيس
ئایە	آي
ئدین	دين
ئنجا	نجا
ئو	و
ئور	ور
ئوردن	وردن
ئوردنێ	وردن
ئوردەن	وردن
ئوسامە	وسام
ئول	ول
ئولی	ولي
ئومێد	ومد
ئون	ون
ئوو	و
ئۆ	و
ئۆج	وج
ئۆدین	ودين
ئۆردن	وردن
ئۆز	وز
ئۆزێل	وظل
ئۆستن	وسطن
ئۆسمان	وصمان
ئۆف	وف
ئۆل	ول
ئۆلد	ولد
ئۆلی	ولي
ئۆمێد	ومد
ئۆن	ون
ئۆهان	وهان
ئۆی	وي
ئۆیل	ويل
ئۆین	وين
ئی	ي
ئیئتلاف	يتلاف
ئیبن	يبن
ئیبنی	يبني
ئیتا	يطآ
ئیتان	يطان
ئیتر	يطر
ئیتلاف	يتلاف
ئیتۆ	يطو
ئیحسان	يحصان
ئید	يد
ئیداری	يداري
ئیدارە	يدار
ئیدارەکە	يدارك
ئیدارەی	يداري
ئیدانە	يدان
ئیدانەی	يداني
ئیدی	يدي
ئیدین	يدين
ئیراسان	يراسان
ئیراسۆن	يراسون
ئیراق	يراق
ئیراقێ	يراق
ئیران	يران
ئیرانێ	يران
ئیرجی	يرجي
ئیرنا	يرنا
ئیرو	يرو
ئیرک	يرك
ئیرۆ	يرو
ئیرینا	يرينا
ئیرەج	يرج
ئیزن	يزن
ئیزنی	يزني
ئیزیدی	يزيدي
ئیس	يس
ئیسال	يصال
ئیست	يسط
ئیستا	يسطا
ئیسرا	يسرا
ئیسنا	يصنا
ئیسک	يسك
ئیسکان	يسكان
ئیسیان	يسيان
ئیسێوە	يصو
ئیش	يش
ئیشق	يشق
ئیشقی	يشقي
ئیشو	يشو
ئیشکەر	يشكر
ئیشی	يشي
ئیف	يف
ئیفادێ	يفاد
ئیفادێن	يفادن
ئیفادەی	يفادي
ئیل	يل
ئیلاف	يلاف
ئیلام	يلام
ئیلنا	يلنا
ئیلی	يلي
ئیلیا	يليا
ئیلین	يلين
ئیلینا	يلينا
ئیم	يم
ئیما	يمآ
ئیمام	يمام
ئیمان	يمان
ئیمانی	يماني
ئیمزا	يمضا
ئیمێل	يمل
ئیمێلی	يملي
ئیمە	يم
ئیمەش	يمش
ئیمەیل	يميل
ئیمەیڵ	يميل
ئین	ين
ئینتەر	ينطر
ئینجا	ينجآ
ئینجی	ينجي
ئیندیا	ينديا
ئینسان	ينصان
ئینی	يني
ئینێستا	ينصتا
ئیهاب	يهاب
ئیهود	يهود
ئیهۆد	يهود
ئیوارەی	يواري
ئیڤاری	يواري
ئیڤرا	يورآ
ئیکس	يكث
ئیکسۆن	يكثون
ئیکۆ	يكو
ئیکەر	يكر
ئیڵ	يل
ئێبی	بي
ئێحسان	حسان
ئێخست	خست
ئێخستن	خستن
ئێد	د
ئێدی	دي
ئێر	ر
ئێراق	راق
ئێراقا	راقا
ئێراقی	راقي
ئێراقێ	راق
ئێران	ران
ئێرانێ	ران
ئێرانە	ران
ئێرێک	رك
ئێرە	ر
ئێرەبکە	ربك
ئێرەو	رو
ئێزدی	ضدي
ئێزیدی	زيدي
ئێس	ث
ئێست	ست
ئێستا	سطا
ئێستە	ست
ئێسقان	سقان
ئێسک	سك
ئێسکی	سكي
ئێسی	سي
ئێش	ش
ئێشی	شي
ئێشە	ش
ئێف	ف
ئێل	ل
ئێلی	لي
ئێم	م
ئێما	ما
ئێمری	مري
ئێمناهیێ	مناهي
ئێمه	مه
ئێمی	مي
ئێمە	م
ئێمەئەم	مم
ئێمەتا	متا
ئێمەدا	مدا
ئێمەدان	مدان
ئێمەزۆر	مزور
ئێمەش	مش
ئێمەلەم	ملم
ئێمەن	من
ئێمەهەر	مهر
ئێمەهەیە	مهي
ئێمەڕێز	مرض
ئێمەکار	مكار
ئێمەکاری	مكاري
ئێمەی	مي
ئێمەیە	مي
ئێن	ن
ئێنی	ني
ئێنێستا	نصتا
ئێهود	هود
ئێوار	وار
ئێواری	واري
ئێوارێ	وار
ئێوارە	وار
ئێوارەدا	واردا
ئێوارەی	واري
ئێوارەیە	واري
ئێوە	و
ئێوەدا	ودا
ئێوەش	وش
ئێوەو	و
ئێوەی	وي
ئێوەیە	وي
ئێڕان	ران
ئێڤا	وا
ئێڤاری	واري
ئێڤاریا	واريا
ئێڤارێ	وار
ئێڤرا	ورآ
ئێک	ك
ئێکس	كث
ئێکسۆن	كسون
ئێکسەر	كسر
ئێکۆ	كو
ئێکی	كي
ئێکێ	ك
ئێکەتی	كتي
ئێکەتیێ	كتي
ئێکەم	كم
ئێکەمین	كمين
ئێڵ	ل
ئێی	ي
ئە	
ئەبی	بي
ئەبێ	ب
ئەبێت	بط
ئەبەدی	بدي
ئەتروشی	تروشي
ئەتلەسی	طلسي
ئەتهەر	طهر
ئەتوانن	توانن
ئەتوانێت	توانت
ئەتڵەسی	طلسي
ئەتۆم	توم
ئەحدەب	حدب
ئەحرار	حرار
ئەحراری	حراري
ئەحمد	حمد
ئەحمەد	حمد
ئەحمەدی	حمدي
ئەحمەدە	حمد
ئەحمەی	حمي
ئەخبار	خبار
ئەختەر	خطر
ئەخزەر	خضر
ئەخلاق	خلاق
ئەخەوان	خوان
ئەد	د
ئەدا	دآ
ئەدرێت	درت
ئەدلەب	دلب
ئەدهەم	دهم
ئەدی	دي
ئەدیب	ديب
ئەدیبان	ديبان
ئەدەب	دب
ئەدەبی	دبي
ئەدەبێ	دب
ئەدەن	دن
ئەدەین	دين
ئەربێلوا	ربلوا
ئەربێلۆا	ربلوا
ئەرد	رد
ئەردی	ردي
ئەردەن	ردن
ئەردەنێ	ردن
ئەرزی	رضي
ئەرشیف	رشيف
ئەرشەد	رشد
ئەرمن	رمن
ئەرمەن	رمن
ئەرک	رك
ئەرکان	ركان
ئەرکی	ركي
ئەرکێ	رك
ئەرکێن	ركن
ئەرکێک	ركك
ئەرکێکی	رككي
ئەرکە	رك
ئەرکەکێ	ركك
ئەرکەی	ركي
ئەرینا	رينا
ئەرێ	ر
ئەرێنی	رني
ئەرێنیان	رنيان
ئەرەبی	ربي
ئەز	ذ
ئەزمڕ	زمر
ئەزمەر	زمر
ئەزمەڕ	زمر
ئەزهار	ظهار
ئەزهەر	زهر
ئەس	ث
ئەسانج	صانج
ئەستون	ستون
ئەستوور	ستور
ئەستۆ	سطو
ئەستۆن	ستون
ئەستێرە	ستر
ئەسعەد	صعد
ئەسعەدی	صعدي
ئەسغەر	ثغر
ئەسغەری	صغري
ئەسفەهان	سفهان
ئەسلی	صلي
ئەسما	صما
ئەسوات	سواط
ئەسوەد	سود
ئەسڵان	صلان
ئەسڵی	صلي
ئەسید	صيد
ئەسیدی	صيدي
ئەسیر	سير
ئەسیل	ثيل
ئەسینا	صينا
ئەسەد	سد
ئەسەددا	سددا
ئەسەدی	ثدي
ئەسەدە	سد
ئەشتۆن	شتون
ئەشرەف	شرف
ئەشرەفی	شرفي
ئەشواق	شواق
ئەشڕەف	شرف
ئەشکان	شكان
ئەشکرا	شكرا
ئەعرەجی	عرجي
ئەعزەمی	عظمي
ئەف	ف
ئەفزەلی	فضلي
ئەفسانە	فصان
ئەفسوون	فسون
ئەفسەر	فسر
ئەفسەران	فسران
ئەفسەرن	فسرن
ئەفسەری	فسري
ئەفسەرە	فسر
ئەفسەرەی	فسري
ئەفلێک	فلك
ئەفلەک	فلك
ئەفەندی	فندي
ئەل	ل
ئەلئومەی	لومي
ئەلبا	لبا
ئەلبی	لبي
ئەلبێدا	لبدا
ئەلشەرع	لشرع
ئەلف	لف
ئەلوسی	لوثي
ئەلڤێس	لوث
ئەلیس	ليس
ئەلیسا	ليسا
ئەلێک	لك
ئەلەڤێس	لوث
ئەم	م
ئەمان	مان
ئەمانە	مان
ئەمباری	مباري
ئەمجەد	مجد
ئەمر	مر
ئەمرۆ	مرو
ئەمرۆی	مروي
ئەمری	مري
ئەمسال	مثال
ئەمساڵ	مثال
ئەمساڵی	مصالي
ئەمساڵە	مثال
ئەمش	مش
ئەمشەوی	مشوي
ئەمن	من
ئەمنی	مني
ئەمنیان	منيان
ئەمنیەت	منيط
ئەمه	مه
ئەمڕؤ	مرؤ
ئەمڕو	مرو
ئەمڕۆ	مرو
ئەمڕۆی	مروي
ئەمڕۆیە	مروي
ئەمی	مي
ئەمیر	مير
ئەمە	م
ئەمەجاری	مجاري
ئەمەخۆی	مخوي
ئەمەدا	مدا
ئەمەزۆر	مزور
ئەمەش	مش
ئەمەشی	مشي
ئەمەل	مل
ئەمەڕەت	مرت
ئەمەکاری	مكاري
ئەمەی	مي
ئەنبار	نبار
ئەنباری	نباري
ئەنتوان	نتوان
ئەنتی	نتي
ئەنتێنا	نتنا
ئەنتەر	نطر
ئەنجا	نجا
ئەنجلس	نجلس
ئەنجلێس	نجلس
ئەنجێلا	نجلا
ئەنجێلس	نجلس
ئەنجێلۆ	نجلو
ئەنخێل	نخل
ئەند	ند
ئەندام	ندام
ئەندامن	ندامن
ئەندامێ	ندام
ئەندامە	ندام
ئەندانی	نداني
ئەندرسن	ندرسن
ئەندری	ندري
ئەندرێ	ندر
ئەندرێس	ندرس
ئەندی	ندي
ئەنسار	نثار
ئەنساری	نساري
ئەنفال	نفال
ئەنفالێ	نفال
ئەنفالە	نفال
ئەنفاڵ	نفال
ئەنقەرا	نقرا
ئەنقەرە	نقر
ئەنقەرەی	نقري
ئەنقەست	نقسط
ئەنمار	نمار
ئەنور	نور
ئەنوەر	نور
ئەنوەری	نوري
ئەنکەرا	نكرا
ئەنکەرە	نكر
ئەنکەرەو	نكرو
ئەنیس	نيس
ئەنێستا	نصتا
ئەنێسکا	نسكا
ئەنەس	نص
ئەهل	هل
ئەهلی	هلي
ئەهواز	هواز
ئەو	و
ئەوا	وا
ئەوانی	واني
ئەوانەی	واني
ئەوجا	وجا
ئەوجار	وجار
ئەودا	ودا
ئەوس	وص
ئەوسا	وصا
ئەوسەت	وسط
ئەوسەتی	وسطي
ئەوش	وش
ئەوشی	وشي
ئەوقاف	وقاف
ئەون	ون
ئەوو	و
ئەوی	وي
ئەوین	وين
ئەوێ	و
ئەوێن	ون
ئەوە	و
ئەوەب	وب
ئەوەبدەن	وبدن
ئەوەتا	وطا
ئەوەتان	وتان
ئەوەد	ود
ئەوەدا	ودا
ئەوەدان	ودان
ئەوەدێت	ودت
ئەوەدێن	ودن
ئەوەش	وش
ئەوەشی	وشي
ئەوەل	ول
ئەوەمن	ومن
ئەوەن	ون
ئەوەنین	ونين
ئەوەهەیە	وهي
ئەوەو	و
ئەوەوە	و
ئەوەڕەت	ورط
ئەوەکرا	وكرا
ئەوەی	وي
ئەوەین	وين
ئەوەیە	وي
ئەڤ	و
ئەڤسال	وصال
ئەڤی	وي
ئەڤین	وين
ئەڤینێ	وين
ئەڤێ	و
ئەڤە	و
ئەکات	كات
ئەکاد	كاد
ئەکبەر	كبر
ئەکبەری	كبري
ئەکرم	كرم
ئەکرێت	كرت
ئەکرەم	كرم
ئەکسل	كثل
ئەکشن	كشن
ئەکشی	كشي
ئەکیتۆ	كيتو
ئەکەم	كم
ئەکەن	كن
ئەکەین	كين
ئەڵقەی	لقي
ئەڵماس	لماس
ئەڵمان	لمان
ئەڵوەن	لون
ئەڵوەنی	لوني
ئەڵڤێس	لوث
ئەی	ي
ئەیسی	يسي
ئەیمار	يمار
ئەیمەن	يمن
ئەینی	يني
ئەیهود	يهود
احمد	احمد
ان	آن
اکرم	اكرم
بؤ	بؤ
باب	باب
بابا	بابا
بابل	بابل
بابلی	بابلي
بابێ	باب
بابێل	بابل
بات	بات
باج	باج
باخ	باخ
باد	باد
بادی	بادي
بادینان	بادينان
بار	بار
بارا	بارا
بارزان	بارزان
بارن	بارن
بارون	بارون
بارک	بارك
بارۆن	بارون
باری	باري
بارین	بارين
بارینێ	بارين
بارێ	بار
بارێکی	باركي
بارە	بار
بارەکەی	باركي
بارەی	باري
بارەیێ	باري
باز	باز
بازار	بازار
بازارێ	بازار
بازاڕ	بازار
بازاڕە	بازار
بازل	بازل
باس	باس
باست	باست
باستان	باسطان
باستۆری	باستوري
باسل	باسل
باسم	باسم
باسک	باسك
باسکی	باسكي
باسکە	باسك
باسکەی	باسكي
باسێ	باص
باسێک	باسك
باسێکی	باسكي
باسە	باص
باسەئەم	باسم
باسەتا	باسطا
باسەوا	باسوا
باش	باش
باشا	باشا
باشە	باش
باغی	باغي
باقر	باقر
باقی	باقي
بال	بال
بالا	بالا
بالی	بالي
بالێ	بال
بالێی	بالي
بالە	بال
بالەی	بالي
بان	بان
بانکۆک	بانكوك
بانی	باني
بانە	بان
بانەی	باني
باک	باك
باکور	باكور
باکورێ	باكور
باکوور	باكور
باکوورێ	باكور
باکوورە	باكور
باکی	باكي
باڵ	بال
باڵا	بالا
باڵاو	بالاو
باڵۆن	بالون
باڵی	بالي
باڵەی	بالي
باڵەیان	باليان
بایدن	بايدن
بایکال	بايكال
بایکاڵ	بايكال
بتنێ	بطن
بتوێن	بطون
بتڵ	بطل
بتەوێت	بتوت
بخرێت	بخرت
بخرێتە	بخرت
بخرێن	بخرن
بخرێنە	بخرن
بخەت	بخت
بخەن	بخن
بخەنە	بخن
بدا	بدا
بدرێ	بدر
بدرێت	بدرت
بدرێتێ	بدرت
بدرێتە	بدرت
بدرێن	بدرن
بدل	بدل
بدن	بدن
بدوێت	بدوت
بدە	بد
بدەت	بدت
بدەن	بدن
بدەنێ	بدن
بدەنە	بدن
بدەی	بدي
بدەیت	بديت
بدەین	بدين
بدەینێ	بدين
بدەینە	بدين
بر	بر
برا	برا
براد	براد
برادلی	برادلي
برازیل	برازيل
برام	برام
بران	بران
برای	براي
برایێ	براي
برد	برد
بردن	بردن
بردە	برد
برن	برن
برهان	برهان
بروج	بروج
بروک	بروك
بروکسل	بروكسل
برۆج	بروج
برۆم	بروم
برۆنز	برونز
برۆکسل	بروكسل
بری	بري
بریا	بريا
بریت	بريت
بریتانی	بريطاني
بریدج	بريدج
برین	برين
برێز	برز
برێست	برصت
برێمەن	برمن
برێک	برك
برێکا	بركا
برێکی	بركي
برێیا	بريا
برە	بر
بزانێ	بضان
بزر	بزر
بزن	بزن
بسی	بثي
بسەر	بسر
بشیر	بشير
بشێت	بشت
بشێن	بشن
بلا	بلا
بلال	بلال
بلو	بلو
بلوو	بلو
بلووری	بلوري
بلۆ	بلو
بلۆک	بلوك
بلی	بلي
بلیت	بليت
بلیتێن	بليتن
بلیۆن	بليون
بلێ	بل
بلێم	بلم
بلێن	بلن
بلێید	بليد
بلێین	بلين
بم	بم
بمێنێ	بمن
بن	بن
بنکە	بنك
بنی	بني
بنێ	بن
بنێت	بنت
بنێین	بنين
بنەما	بنما
بها	بها
بهجت	بهجت
بهرام	بهرام
بهێت	بهت
بهێتە	بهت
بهێز	بهظ
بهێن	بهن
بهێنێ	بهن
بهێنە	بهن
بوار	بوار
بواری	بواري
بوارێ	بوار
بوارە	بوار
بوارەی	بواري
بواس	بواث
بوبێت	بوبت
بوترێت	بوطرت
بوخارست	بوخارست
بورما	بورما
بورمی	بورمي
بوری	بوري
بورینا	بورينا
بوریێن	بورين
بوزا	بوذا
بوزی	بوذي
بوش	بوش
بوشرا	بوشرا
بول	بول
بولا	بولا
بولێ	بول
بوم	بوم
بون	بون
بونا	بونا
بونی	بوني
بونە	بون
بووانی	بواني
بووبن	بوبن
بووبێ	بوب
بووبێت	بوبت
بووری	بوري
بووش	بوش
بووم	بوم
بوومە	بوم
بوون	بون
بوونا	بونا
بوونی	بوني
بوونێ	بون
بوونە	بون
بوونەی	بوني
بووەلە	بول
بووەلەو	بولو
بوکێر	بوكر
بوێر	بور
بوێری	بوري
بوەستن	بوسطن
بوەستێت	بوسطت
بڕ	بر
بڕا	برا
بڕاد	براد
بڕانی	براني
بڕبڕەی	بربري
بڕوا	بروا
بڕی	بري
بڕین	برين
بڕێک	برك
بڕێکی	بركي
بڕە	بر
بڕەش	برش
بڕەکەی	بركي
بڕەی	بري
بکت	بكت
بکر	بكر
بکری	بكري
بکرێ	بكر
بکرێت	بكرت
بکرێتە	بكرت
بکرێن	بكرن
بکرێنە	بكرن
بکن	بكن
بکڕن	بكرن
بکڕێت	بكرت
بکێت	بكت
بکە	بك
بکەت	بكت
بکەم	بكم
بکەن	بكن
بکەنە	بكن
بکەی	بكي
بکەیت	بكيت
بکەین	بكين
بکەینە	بكين
بکەێن	بكن
بڵین	بلين
بڵێ	بل
بڵێت	بلط
بڵێم	بلم
بڵێن	بلن
بڵێی	بلي
بڵێیت	بليت
بڵێین	بلين
بۆئەم	بوم
بۆب	بوب
بۆبی	بوبي
بۆتان	بوتان
بۆتسوانا	بوتسوانا
بۆرتلاند	بورتلاند
بۆرما	بورما
بۆرن	بورن
بۆرکینا	بوركينا
بۆری	بوري
بۆسان	بوسان
بۆستن	بوسطن
بۆسنیا	بوثنيا
بۆسنە	بوسن
بۆسەر	بوصر
بۆش	بوش
بۆق	بوق
بۆل	بول
بۆلتن	بولتن
بۆم	بوم
بۆمبای	بومباي
بۆن	بون
بۆنی	بوني
بۆنە	بون
بۆنەی	بوني
بۆنەیە	بوني
بۆڕی	بوري
بۆکرا	بوكرا
بۆڵتن	بولتن
بۆینس	بوينس
بی	بي
بیان	بيان
بیانو	بيانو
بیانوو	بيانو
بیانەوێ	بيانو
بیت	بيت
بیتا	بيتا
بیتر	بيطر
بیتی	بيتي
بیدەن	بيدن
بیر	بير
بیرا	بيرا
بیرت	بيرت
بیرم	بيرم
بیرو	بيرو
بیروت	بيروت
بیرە	بير
بیست	بيست
بیستێ	بيست
بیل	بيل
بیلاروسی	بيلاروسي
بین	بين
بینا	بينا
بینت	بينت
بینن	بينن
بینی	بيني
بینێت	بينت
بینە	بين
بینەوە	بينو
بیۆلۆجی	بيولوجي
بیێر	بير
بیە	بي
بیەوێت	بيوت
بێ	ب
بێت	بط
بێتر	بتر
بێتە	بط
بێخاڵ	بخال
بێخن	بخن
بێر	بر
بێرت	برت
بێرد	برد
بێرر	برر
بێرن	برن
بێرنز	برنز
بێری	بري
بێزار	بذار
بێسەر	بسر
بێل	بل
بێن	بن
بێنیت	بنيت
بێنین	بنين
بێنێ	بن
بێنێت	بنت
بێنە	بن
بێنەسەر	بنصر
بێوار	بوار
بێوێنەی	بوني
بێڕێزی	برزي
بێکەر	بكر
بێڵ	بل
بێڵن	بلن
بێی	بي
بێین	بين
بە	ب
بەئازار	بازار
بەئاست	باسط
بەئاستی	باسطي
بەئێران	بران
بەئێرانی	براني
بەئێمە	بم
بەئەرک	برك
بەئەرکی	بركي
بەئەستەم	بثتم
بەئەم	بم
بەتانک	بتانك
بەتاڵ	بطال
بەتیخ	بطيخ
بەتین	بتين
بەتێر	بتر
بەجل	بجل
بەجلی	بجلي
بەحر	بحر
بەحری	بحري
بەحرین	بحرين
بەحرەین	بحرين
بەحس	بحث
بەحسا	بحثا
بەحسێ	بحث
بەحەسەن	بحثن
بەخاڵ	بخال
بەخت	بخت
بەخوڕ	بخور
بەخێر	بخر
بەد	بد
بەدر	بدر
بەدوا	بدوا
بەدور	بدور
بەدوو	بدو
بەدوور	بدور
بەدووی	بدوي
بەدڵ	بدل
بەدڵی	بدلي
بەدی	بدي
بەدیع	بديع
بەدیل	بديل
بەدەر	بدر
بەدەل	بدل
بەر	بر
بەرا	برا
بەرابەر	برابر
بەراز	براز
بەرازی	برازي
بەرازیل	برازيل
بەرای	براي
بەرتلە	برطل
بەرتیل	برطيل
بەرد	برد
بەردا	بردا
بەردان	بردان
بەردی	بردي
بەرز	برز
بەرزان	برزان
بەرزن	برزن
بەرزی	برزي
بەرزە	برز
بەرزەی	برزي
بەرسڤا	برصوا
بەرلین	برلين
بەرلینێ	برلين
بەرمیل	برميل
بەرمیلە	برميل
بەرن	برن
بەرهەمی	برهمي
بەرڵین	برلين
بەری	بري
بەریا	بريا
بەرید	بريد
بەریدی	بريدي
بەرین	برين
بەریێ	بري
بەرێ	بر
بەرێت	برت
بەرێز	برز
بەرێزان	برزان
بەرێزی	برزي
بەرە	بر
بەرەد	برد
بەرەکانی	بركاني
بەرەکەت	بركت
بەرەی	بري
بەزاز	بزاز
بەزۆر	بذور
بەس	بس
بەسام	بسام
بەساڵ	بسال
بەست	بسط
بەسترا	بسترا
بەستن	بسطن
بەستی	بسطي
بەستەی	بسطي
بەسرا	بصرا
بەسری	بصري
بەسرە	بسر
بەسرەی	بصري
بەسڕە	بسر
بەسی	بثي
بەسێ	بس
بەسێیەم	بسيم
بەسە	بس
بەسەر	بسر
بەسەرا	بصرا
بەسەری	بصري
بەسەڕ	بسر
بەش	بش
بەشان	بشان
بەشن	بشن
بەشی	بشي
بەشیر	بشير
بەشێ	بش
بەشە	بش
بەشەش	بشش
بەشەڕ	بشر
بەشەڕی	بشري
بەشەی	بشي
بەعس	بعث
بەعسا	بعثا
بەعسن	بعثن
بەعسە	بعث
بەغداد	بغداد
بەغدادی	بغدادي
بەغدادیە	بغدادي
بەلجیکا	بلجيكا
بەلو	بلو
بەلۆ	بلو
بەلی	بلي
بەلێ	بل
بەلێدان	بلدان
بەلێن	بلن
بەلەد	بلد
بەلەدی	بلدي
بەلەم	بلم
بەم	بم
بەمن	بمن
بەمە	بم
بەن	بن
بەنا	بنا
بەند	بند
بەندە	بند
بەندەر	بندر
بەنزین	بنزين
بەنک	بنك
بەنۆ	بنو
بەنی	بني
بەنیوەی	بنيوي
بەنێو	بنو
بەنێوی	بنوي
بەنەوەی	بنوي
بەها	بها
بەهار	بهار
بەهارە	بهار
بەهجەت	بهجت
بەهرا	بهرا
بەهرام	بهرام
بەهی	بهي
بەهێز	بهظ
بەهێزن	بهظن
بەهێزی	بهذي
بەهێزە	بهظ
بەهەر	بهر
بەهەم	بهم
بەوادەی	بوادي
بەوانەی	بواني
بەوزەی	بوذي
بەوش	بوش
بەوێنە	بون
بەوێنەی	بوني
بەوەش	بوش
بەوەنا	بونا
بەڕ	بر
بەڕا	برا
بەڕازیل	برازيل
بەڕازیلی	برازيلي
بەڕای	براي
بەڕی	بري
بەڕێ	بر
بەڕێز	برز
بەڕێزان	برزان
بەڕێزی	برزي
بەڕێک	برك
بەڕە	بر
بەڕەوا	بروا
بەڕەی	بري
بەکتریا	بكتريا
بەکر	بكر
بەکری	بكري
بەکرێ	بكر
بەکرێی	بكري
بەکێ	بك
بەکەم	بكم
بەکەڵک	بكلك
بەڵا	بلا
بەڵی	بلي
بەڵین	بلين
بەڵێ	بل
بەڵێن	بلن
بەڵێی	بلي
بەی	بي
بەیات	بيات
بەیان	بيان
بەیانێ	بيان
بەیت	بيت
بەیتی	بيتي
بەیتەرەی	بيطري
بەیروت	بيروت
بەیرووت	بيروت
تا	تا
تائێستا	طاستا
تاج	تاج
تاخی	تآخي
تاخێ	تآخ
تاخێن	تآخن
تاد	طاد
تادێت	طادت
تار	طار
تارا	طارا
تارق	طارق
تاری	طاري
تاریخ	تاريخ
تاق	تاق
تاقم	طاقم
تالب	طالب
تالبی	طالبي
تالین	تالين
تام	تام
تامر	تامر
تامس	طامس
تامی	طامي
تان	تان
تانک	تانك
تانە	تان
تاها	تاها
تاهر	طاهر
تاون	تاون
تاکسی	تاكسي
تاڵ	طال
تاڵب	طالب
تاڵی	تالي
تایبەت	طايبت
تایبەتا	طايبتا
تایبەتم	طايبتم
تایبەتن	طايبتن
تایبەتێ	طايبت
تایبەتە	طايبت
تایسۆن	تايسون
تایلاند	تايلاند
تایلاندی	تايلاندي
تایلۆر	تايلور
تایلەند	تايلند
تایوان	تايوان
تایوانی	تايواني
تایەر	طاير
تبت	تبت
تبتی	تبتي
تحسین	تحسين
تدفین	تدفين
تر	تر
ترا	ترا
ترام	ترام
تردا	تردا
ترزی	ترضي
ترس	ترس
ترسا	ترسا
ترسان	ترسان
ترسی	طرسي
ترسیان	ترصيان
ترسەی	طرسي
ترش	ترش
ترشی	ترشي
ترمان	ترمان
ترن	ترن
ترو	ترو
ترکی	تركي
ترکیا	تركيا
ترکیێ	تركي
تری	طري
تریان	تريان
تریش	تريش
تریشی	تريشي
تریلیۆن	تريليون
ترین	ترين
ترێ	طر
ترە	طر
ترەبۆ	تربو
ترەو	طرو
ترەوە	طرو
ترەوەو	طرو
تسعین	تسعين
تسعینی	تسعيني
تسیبی	تثيبي
تشت	تشت
