E	'i
آخال	'AxAl
آخت	'Axt
آخته	'Axte
آخر	'Axar
آخرالزمان	'AxarAzzamAn
آخرالزمانی	'AxarozzamAni
آخرالنهر	'Axeronnahr
آخربین	'Axarbin
آخرت	'Axerat
آخرت‌گرایی	'AxeratgerAyi
آخردست	'Axardast
آخرسر	'Axarsar
آخرک	'Axorak
آخری	'Axari
آخر‌الامر	'Axarol'amr
آخشیج	'AxSij
آخشیجان	'AxSijAn
آخه	'Axe
آخور	'Axor
آخوره	'Axore
آخوند	'Axund
آخوندزاده	'AxundzAde
آخوندک	'Axundak
آخوندی	'Axundi
آخی	'Axey
آدا	'AdA
آداب	'AdAb
آدابدان	'AdAbdAn
آداب‌دانی	'AdAbdAni
آدام	'AdAm
آدامز	'AdAmz
آدامس	'AdAms
آداپتور	'AdAptor
آدرس	'Adres
آدرنالین	'AdernAlin
آدرنرژیک	'AdernerZik
آدریاتیک	'AdriyAtik
آدم	'Adam
آدمک	'Adamak
آدمی	'Adami
آدمیت	'Adamiyyat
آدمیرال	'AdmirAl
آدمیزاد	'AdamizAd
آدمیزاده	'AdamizAde
آدم‌آهنی	'AdamAhani
آدم‌برفی	'Adambarfi
آدم‌خوار	'AdamxAr
آدم‌خواری	'AdamxAri
آدم‌ربایی	'AdamrobAyi
آدم‌رو	'Adamrow
آدم‌سوزی	'Adamsuzi
آدم‌مصنوعی	'Adammasnu'i
آدم‌نما	'AdamnamA
آدم‌نمایان	'AdamnamAyAn
آدم‌کش	'AdamkoS
آدم‌کشی	'AdamkoSi
آدنوئید	'Adeno'id
آدنوزین	'Adenozin
آدنین	'Adenin
آده	'Ade
آدینه	'Adine
آذار	'AzAr
آذر	'Azar
آذرآب	'AzarAb
آذربایجان	'AzarbAyjAn
آذربایجانی	'AzarbAyejAni
آذربو	'Azarbu
آذرخش	'AzaraxS
آذردخت	'Azardoxt
آذرستان	'AzarestAn
آذرسینا	'AzarsinA
آذرشب	'AzarSab
آذرشهر	'AzarSahr
آذرفام	'AzarfAm
آذرماه	'AzarmAh
آذرمیدخت	'Azarmidoxt
آذرند	'Azarand
آذرنیا	'AzarniyA
آذروش	'AzarvaS
آذرگشنسب	'AzargoSnasb
آذرگون	'Azargun
آذرگوی	'Azarguy
آذری	'Azari
آذرین	'Azarin
آذرینی	'Azarini
آذریون	'Azaryun
آذوغه	'Azuqe
آذوقه	'Azuqe
آذین	'Azin
آذین‌بندی	'Azinbandi
آذین‌شده	'AzinSode
آر	'Ar
آرا	'ArA
آراء	'ArA
آرابسک	'ArAbesk
آراد	'ArAd
آرادان	'ArAdAn
آرارات	'ArArAt
آراست	'ArAst
آراسته	'ArAste
آراستگی	'ArAstegi
آرال	'ArAl
آرام	'ArAm
آرامش	'ArAmeS
آرامشی	'ArAmeSi
آرامش‌بخش	'ArAmeSbaxS
آرامش‌زا	'ArAmeSzA
آرامش‌طلب	'ArAmeStalab
آرامش‌طلبی	'ArAmeStalabi
آرامکو	'ArAmko
آرامگاه	'ArAmgAh
آرامگاهی	'ArAmgAhi
آرامگه	'ArAmgah
آرامی	'ArAmi
آرامید	'ArAmid
آرام‌آرام	'ArAmArAm
آرام‌بخش	'ArAmbaxS
آرام‌بخشی	'ArAmbaxSi
آرام‌سازی	'ArAmsAzi
آرام‌پز	'ArAmpaz
آرام‌کننده	'ArAmkonande
آران	'ArAn
آرانی	'ArAni
آرای	'ArAy
آرایش	'ArAyeS
آرایشگاه	'ArAyeSgAh
آرایشگر	'ArAyeSgar
آرایشگری	'ArAyeSgari
آرایشی	'ArAyeSi
آرایه	'ArAye
آرایید	'ArAyid
آرتروز	'Arteroz
آرتروگرافی	'ArterogerAfi
آرتریت	'Arterit
آرتزین	'Arteziyan
آرتمیس	'Artemis
آرتور	'Artur
آرتیست	'Artist
آرتیستی‌	'Artisti
آرتیشو	'ArtiSu
آرد	'Ard
آردبیز	'Ardbiz
آردسازی	'ArdsAzi
آردل	'Ardel
آردن	'Arden
آردی	'Ardi
آردینه	'Ardine
آرزو	'Arezu
آرزومند	'Arezumand
آرزومندی	'Arezumandi
آرسنال	'ArsenAl
آرسنیک	'Arsenik
آرش	'AraS
آرشه	'ArSe
آرشیتکت	'ArSitekt
آرشیدوشس	'ArSiduSes
آرشیدوک	'ArSiduk
آرشیو	'ArSiv
آرشیویست	'ArSivist
آرم	'Arm
آرماتور	'ArmAtor
آرمان	'ArmAn
آرمانگرا	'ArmAngerA
آرمانی	'ArmAni
آرمان‌خواه	'ArmAnxAh
آرمان‌خواهانه	'ArmAnxAhAne
آرمان‌خواهی	'ArmAnxAhi
آرمان‌شهر	'ArmAnSahr
آرمان‌گرایانه	'ArmAngerAyAne
آرمان‌گرایی	'ArmAngerAyi
آرمگاه	'ArAmgAh
آرمیتاژ	'ArmitAZ
آرمید	'Aramid
آرمیده	'Aramide
آرمین	'Armin
آرمینیا	'ArminiyA
آرمیچر	'ArmiCer
آرنج	'Aranj
آرنولد	'Arnold
آره	'Are
آرواره	'ArvAre
آرواره‌داران	'ArvAredArAn
آروبند	'Aruband
آروغ	'Aruq
آروق	'Aruq
آروماتیک	'AromAtik
آرپی‌جی	'Arpiji
آرژانتین	'ArZAntin
آرژانتینی	'ArZAntini
آرکئوپتریکس	'Arke'opeteriks
آرگون	'Argon
آری	'Ari
آریا	'AriyA
آریائی	'AriyA'i
آریازند	'AriyAzand
آریامنش	'AriyAmaneS
آریان	'AriyAn
آریانا	'AriyAnA
آریانفر	'AriyAnfar
آریانژاد	'AriyAneZAd
آریانیسم	'AriyAnism
آریان‌پور	'AriyAnpur
آریاپور	'AriyApur
آریایی	'AriyA'i
آریایی‌نژاد	'AriyAyineZAd
آریا‌مهر	'riyAmehr
آریزونا	'ArizonA
آریستوکرات	'AristokerAt
آریستوکراسی	'AristokerAsi
آرین	'Ariyan
آریوبرزن	'Aryubarzan
آز	'Az
آزاد	'AzAd
آزاداندیشی	'AzAdandiSi
آزادانه	'AzAdAne
آزادبخت	'AzAdbaxt
آزاددرخت	'AzAdderaxt
آزادسازی	'AzAdsAzi
آزادشهر	'AzAdSahr
آزادفکری	'AzAdfekri
آزادماهی	'AzAdmAhi
آزادماهیان	'AzAdmAhiyAn
آزادمردی	'AzAdmardi
آزادمنش	'AzAdmaneS
آزادمنشانه	'AzAdmaneSAne
آزادمنشی	'AzAdmaneSi
آزاده	'AzAde
آزادکار	'AzAdkAr
آزادگان	'AzAdegAn
آزادگی	'AzAdegi
آزادی	'AzAdi
آزادیخواه	'AzAdixAh
آزادیخواهانه	'AzAdixAhAne
آزادیخواهی	'AzAdixAhi
آزادی‌بخش	'AzAdibaxS
آزادی‌جویانه	'AzAdijuyAne
آزادی‌طلب	'AzAditalab
آزادی‌طلبی	'AzAditalabi
آزاد‌اندیش	'AzAdandiS
آزاد‌راه	'AzAdrAh
آزاد‌شده	'AzAdSode
آزاد‌مرد	'AzAdmard
آزار	'AzAr
آزاردهنده	'AzArdahande
آزاردوستی	'AzArdusti
آزارنده	'AzArande
آزارگر	'AzArgar
آزالیا	'AzAliyA
آزبست	'Azbest
آزتک	'Aztak
آزرد	'Azord
آزرده	'Azorde
آزرده‌جان	'AzordejAn
آزرده‌خاطر	'AzordexAter
آزرده‌دل	'Azordedel
آزردگی	'Azordegi
آزرم	'Azarm
آزرمگین	'Azarmgin
آزرمی	'Azarmi
آزما	'AzmA
آزمایش	'AzmAyeS
آزمایشگاه	'AzmAyeSgAh
آزمایشگاهی	'AzmAyeSgAhi
آزمایشگر	'AzmAyeSgar
آزمایشگری	'AzmAyeSgari
آزمایشی	'AzmAyeSi
آزمایش‌شده	'AzmAyeSSode
آزماینده	'AzmAyande
آزمند	'Azmand
آزمندانه	'AzmandAne
آزمندی	'Azmandi
آزمود	'Azemud
آزمودنی	'Azmudani
آزموده	'Azmude
آزمون	'Azmun
آزمونه	'Azmune
آزمونه‌ای	'Azmune'i
آزمونگر	'Azmungar
آزمون‌پذیری	'Azmunpaziri
آزوقه	'Azuqe
آزگار	'AzegAr
آزیتا	'AzitA
آس	'As
آسا	'AsA
آسام	'AsAm
آسامی	'AsAmi
آسان	'AsAn
آسانسور	'AsAnsor
آسانسورچی	'AsAnsorCi
آسانی	'AsAni
آسان‌سازی	'AsAnsAzi
آسان‌گیر	'AsAngir
آسان‌گیری	'AsAngiri
آسان‌یاب	'AsAnyAb
آسایش	'AsAyeS
آسایشگاه	'AsAyeSgAh
آسایش‌‌طلب	'AsAyeStalab
آستاتین	'AstAtin
آستارا	'AstArA
آستاراچای	'AstArACAy
آستان	'AstAn
آستانه	'AstAne
آستانی	'AstAni
آستان‌بوسی	'AstAnbusi
آستر	'Astar
آستروئید	'Astero'id
آسترونومی	'Astronomi
آستری	'Astari
آستون	'Aseton
آستین	'Astin
آستین‌دار	'AstindAr
آستیگمات	'AstigmAt
آستیگماتیسم	'AstigmAtism
آسف	'Asef
آسفالت	'AsfAlt
آسفالته	'AsfAlte
آسفی	'Asefi
آسم	'Asm
آسمان	'AsemAn
آسمانه	'AsemAne
آسمانی	'AsemAni
آسمان‌جل	'AsemAnjol
آسمان‌خراش	'AsemAnxarAS
آسمان‌دره	'AsemAndarre
آسمان‌غره	'AsemAnqorre
آسمان‌نما	'AsemAnnamA
آسمی	'Asmi
آسه	'Ase
آسود	'Asud
آسوده	'Asude
آسوده‌حال	'AsudehAl
آسوده‌خاطر	'AsudexAter
آسوده‌دل	'Asudedel
آسودگی	'Asudegi
آسوری	'Asuri
آسوریک	'Asurik
آسوشیتدپرس	'AsoSeytedperes
آسوندار	'AsundAr
آسپرین	'Asperin
آسپیرین	'Aspirin
آسک	'Ask
آسکاریس	'AskAris
آسی	'Asi
آسیا	'AsiyA
آسیائی	'AsiyA'i
آسیاب	'AsiyAb
آسیابان	'AsiyAbAn
آسیابی	'AsiyAbi
آسیایی	'AsiyAyi
آسیایی‌تبار	'AsiyAyitabAr
آسیب	'Asib
آسیبی	'Asibi
آسیب‌دیده	'Asibdide
آسیب‌دیدگی	'Asibdidegi
آسیب‌رسان	'AsibresAn
آسیب‌رسانی	'AsibresAni
آسیب‌زا	'AsibzA
آسیب‌زننده	'Asibzanande
آسیب‌شناختی	'AsibSenAxti
آسیب‌شناس	'AsibSenAs
آسیب‌شناسی	'AsibSenAsi
آسیب‌ناپذیر	'AsibnApazir
آسیب‌ناپذیری	'AsibnApaziri
آسیب‌پذیری	'Asibpaziri
آسیب‌پذیر‌	'Asibpazir
آسید	'Aseyd
آسیستان	'AsistAn
آسیمه	'Asime
آسیمه‌سر	'Asimesar
آسیه	'Asiye
آس‌وپاس	'AsopAs
آش	'AS
آشام	'ASAm
آشامید	'ASAmid
آشامیدنی	'ASAmidani
آشانتی	'ASAnti
آشتی	'ASti
آشتیان	'AStiyAn
آشتیانی	'AStiyAni
آشتیانی‌پور	'AStiyAnipur
آشتی‌جویانه	'AStijuyAne
آشتی‌جویی	'AStijuyi
آشتی‌طلبی	'AStitalabi
آشتی‌ناپذیر	'AStinApazir
آشتی‌پذیر	'AStipazir
آشغال	'ASqAl
آشغالدان	'ASqAldAn
آشغالدانی	'ASqAldAni
آشغال‌جمعکن	'ASqAljam'kon
آشفت	'ASoft
آشفته	'ASofte
آشفته‌بازار	'ASoftebAzAr
آشفته‌حال	'ASoftehAl
آشفته‌حالی	'ASoftehAli
آشفته‌خاطر	'ASoftexAter
آشفته‌دل	'ASoftedel
آشفته‌کار	'ASoftekAr
آشفتگی	'ASoftegi
آشنا	'ASnA
آشنائی	'ASnA'i
آشناسازی	'ASnAsAzi
آشنایی	'ASnAyi
آشوب	'ASub
آشوبگر	'ASubgar
آشوبگری	'ASubgari
آشوب‌برانگیز	'ASubbarangiz
آشوب‌زده	'ASubzade
آشوب‌طلب	'ASubtalab
آشوب‌طلبانه	'ASubtalabAne
آشوب‌طلبی	'ASubtalabi
آشور	'ASur
آشوراده	'ASurAde
آشوربانیپال	'ASurbAnipAl
آشوری	'ASuri
آشپز	'ASpaz
آشپزباشی	'ASpazbASi
آشپزخانه	'ASpazxAne
آشپزی	'ASpazi
آشکارا	'ASkArA
آشکارساز	'ASkArsAz
آشکارسازی	'ASkArsAzi
آشکارگر	'ASekArgar
آشکار‌شده	'ASkArSode
آشکار‌کننده	'ASkArkonande
آشی	'ASi
آشیان	'ASiyAn
آشیانه	'ASiyAne
آشیخ	'ASeyx
آش‌خوری	'ASxori
آش‌ولاش	'ASolAS
آش‌کار	'ASkAr
آش‌کاری	'ASkAri
آصف	'Asef
آصفی	'Asefi
آغا	'AqA
آغاجاری	'AqAjAri
آغاجری	'AqAjari
آغار	'AqAr
آغاز	'AqAz
آغازگر	'AqAzgar
آغازگری	'AqAzgari
آغازی	'AqAzi
آغازیان	'AqAziyAn
آغازید	'AqAzid
آغازین	'AqAzin
آغاز‌شده	'AqAzSode
آغاز‌کننده	'AqAzkonande
آغاسی	'AqAsi
آغال	'AqAl
آغا‌محمد	'AqAmohammad
آغا‌محمدخان	'AqAmohammadxAn
آغداشلو	'AqdASlu
آغز	'Aqoz
آغشت	'AqeSt
آغشته	'AqeSte
آغل	'Aqol
آغوز	'Aquz
آغوش	'AquS
آغ‌دره	'Aqdarre
آغ‌چای	'AqCAy
آف	'Af
آفات	'AfAt
آفاق	'AfAq
آفاقی	'AfAqi
آفت	'Afat
آفتاب	'AftAb
آفتابرو	'AftAbru
آفتابه	'AftAbe
آفتابگردان	'AftAbgardAn
آفتابگردک	'AftAbgardak
آفتابی	'AftAbi
آفتاب‌زده	'AftAbzade
آفتاب‌زدگی	'AftAbzadegi
آفتاب‌سوخته	'AftAbsuxte
آفتاب‌سوختگی	'AftAbsuxtegi
آفتاب‌پرست	'AftAbparast
آفتاب‌گیر	'AftAbgir
آفتاب‌گیری	'AftAbgiri
آفتامات	'AftAmAt
آفتومات	'AftomAt
آفت‌زده	'Afatzade
آفت‌کش	'AfatkoS
آفت‌کشی	'AfatkoSi
آفرید	'Afarid
آفریده	'Afaride
آفریده‌شده	'AfarideSode
آفریدگار	'AfaridegAr
آفریقا	'AfriqA
آفریقائی	'AfriqA'i
آفریقایی	'AfriqAyi
آفریقایی‌تبار	'AfriqAyitabAr
آفرین	'Afarin
آفرینش	'AfarineS
آفرینشگر	'AfarineSgar
آفریننده	'Afarinande
آفرینندگی	'Afarinandegi
آفساید	'AfsAyd
آفند	'Afand
آفندی	'Afandi
آفیش	'AfiS
آقا	'AqA
آقائی	'AqA'i
آقااحمدی	'AqA'ahmadi
آقابابایی	'AqAbAbAyi
آقابخشی	'AqAbaxSi
آقاجان	'AqAjAn
آقاجانی	'AqAjAni
آقاجانیان	'AqAjAniyAn
آقاجری	'AqAjari
آقاخان	'AqAxAn
آقاخانی	'AqAxAni
آقاداداش	'AqAdAdAS
آقادایی	'AqAdAyi
آقازاده	'AqAzAde
آقاسی	'AqAsi
آقالو	'AqAllu
آقامحمدخان	'AqAmohammadxAn
آقامیرزا	'AqAmirzA
آقامیری	'AqAmiri
آقاپسر	'AqApesar
آقاپور	'AqApur
آقاکریمی	'AqAkarimi
آقایی	'AqAyi
آقا‌بزرگ	'AqAbozorg
آقا‌محمدی	'AqAmohammadi
آقطی	'Aqti
آقطیان	'AqtiyAn
آق‌بابا	'AqAbAbA
آق‌تپه	'Aqtappe
آق‌داغ	'AqdAq
آق‌سنقر	'Aqsonqor
آق‌قلا	'AqqallA
آق‌قویونلو	'Aqqoyunlu
آق‌چای	'AqCAy
آل	'Al
آلئوت	'Ale'ut
آلا	'AlA
آلات	'AlAt
آلاخون‌والاخون	'AlAxunvAlAxun
آلاسکا	'AlAskA
آلاش	'AlAS
آلاله	'AlAle
آلالگان	'AlAlegAn
آلالی	'AlAli
آلام	'AlAm
آلان	'AlAn
آلانی	'AlAni
آلاچیق	'AlACiq
آلایش	'AlAyeS
آلاینده	'AlAyande
آلایندگی	'AlAyandegi
آلباتروس	'AlbAtros
آلبالو	'AlbAlu
آلبالوپلو	'AlbAlupolo
آلبالویی	'AlbAluyi
آلبانی	'AlbAni
آلبانیایی	'AlbAniyAyi
آلبانیایی‌تبار	'AlbAniyAyitabAr
آلبر	'Alber
آلبرت	'Albert
آلبرتا	'AlbertA
آلبرتو	'Alberto
آلبرتی	'Alberti
آلبرتینی	'Albertini
آلبرکامو	'AlberkAmo
آلبوم	'Albom
آلبومن	'Albomen
آلبومین	'Albomin
آلبینیسم	'Albinism
آلب‌ارسلان	'AlbarsalAn
آلت	'Alat
آلترناتیو	'AlternAtiv
آلتو	'Alto
آلتواستراتوس	'Alto'esterAtus
آلتوکومولوس	'Altokomolus
آلتیمتر	'Altimetr
آلدئید	'Alde'id
آلدسترون	'Aldosteron
آلرژن	'AlerZan
آلرژی	'AlerZi
آلرژیک	'AlerZik
آلرژی‌زا	'AlerZizA
آلزاس	'AlzAs
آلزایمر	'AlzAymer
آلش	'AleS
آلفا	'AlfA
آلفا‌هیدروکسی	'AlfAhidroksi
آلفرد	'Alfered
آلما	'AlmA
آلمان	'AlmAn
آلمانی	'AlmAni
آلمانی‌الاصل	'AlmAniyol'asl
آلمانی‌زبان	'AlmAnizabAn
آلن	'Alen
آلنیکو	'Alniko
آلن‌پو	'Alenpo
آله	'Ale
آلو	'Alu
آلوتروپی	'Alotropi
آلود	'Alud
آلوده	'Alude
آلوده‌ساز	'AludesAz
آلوده‌سازی	'AludesAzi
آلوده‌کننده	'Aludekonande
آلودگی	'Aludegi
آلومین	'Alomin
آلومینیمی	'Alominiyomi
آلومینیوم	'Alominiyom
آلومینیومی	'Alominiyomi
آلونک	'Alonak
آلونک‌نشینی	'AlonakneSini
آلوچه	'AluCe
آلپ	'Alp
آلپاکا	'AlpAkA
آلپی	'Alpi
آلک	'Alak
آلکالوئید	'AlkAlo'id
آلکس	'Aleks
آلکساندر	'AleksAnder
آلکسی	'Aleksi
آلگ	'Alag
آلگرتو	'Alegreto
آلگوریتم	'Algoritm
آلگوریسم	'Algorism
آلی	'Ali
آلیاژ	'AlyAZ
آلیاژی	'AliyAZi
آل‌اسحاق	'Ale'eshAq
آل‌ا‌حمد	'Ale'ahmad
آل‌بویه	'Alebuye
آل‌ثانی	'AlesAni
آل‌خلیفه	'Alexalife
آل‌رسول	'Alerasul
آل‌طه	'AletAhA
آل‌عبا	'Ale'abA
آل‌عمران	'Ale'omrAn
آل‌محمد	'Alemohammad
آل‌مظفر	'Alemozaffar
آل‌مکتوم	'Alemaktum
آل‌نبی	'Alenabi
آل‌کرت	'Alekeret
آما	'AmA
آماتور	'AmAtor
آماتوری	'AmAtori
آماج	'AmAj
آماجگاه	'AmAjgAh
آماد	'AmAd
آماده	'AmAde
آماده‌باش	'AmAdebAS
آماده‌به‌کار	'AmAdebekAr
آماده‌سازی	'AmAdesAzi
آمادگاه	'AmAdgAh
آمادگی	'AmAdegi
آمار	'AmAr
آماربرداری	'AmArbardAri
آمارد	'AmArd
آماردان	'AmArdAn
آمارشناس	'AmArSenAs
آمارنامه	'AmArnAme
آمارگر	'AmArgar
آمارگیر	'AmArgir
آمارگیری	'AmArgiri
آماری	'AmAri
آماریلیس	'AmArilis
آمازون	'AmAzon
آمازونی	'AmAzoni
آماس	'AmAs
آمال	'AmAl
آمالگام	'AmAlgAm
آمایش	'AmAyeS
آمبولانس	'AmbolAns
آمبولی	'Amboli
آمخته	'Amoxte
آمد	'Amad
آمدنی	'Amadani
آمد‌و‌رفت	'Amadoraft
آمد‌و‌شد	'AmadoSod
آمر	'Amer
آمرانه	'AmerAne
آمرز	'Amorz
آمرزش	'AmorzeS
آمرزنده	'Amorzande
آمرزید	'Amorzid
آمرزیده	'Amorzide
آمریت	'Ameriyyat
آمریکا	'AmrikA
آمریکائی	'AmrikA'i
آمریکایی	'AmrikAyi
آمریکیم	'Amerikiyom
آمستردام	'AmesterdAm
آمفوتر	'Amfoter
آمفی	'Amfi
آمل	'Amol
آملی	'Amoli
